
-----------------------------------

total task's number: 107
correct solved tasks: 26
evaluation failed tasks: 0
accuracy (not consider evaluation failed ones): 0.24299065420560748
accuracy (full): 0.24299065420560748


-----------------------------------

1.6862105703974677  ;  50.7 $\mathrm{atm}$ 
The total change in entropy is approximately 2.8800345273496037 J/K.  ;  +2.9 $\mathrm{J} \mathrm{K}^{-1}$
0.0 kJ/mol.  ;  +11 $\mathrm{kJ} \mathrm{mol}^{-1}$
The original pressure of the gas is 5.16  ;  3.42 $ \mathrm{bar}$
The change in entropy (ΔS) for the system is approximately 6.011689263647237 J/K.  ;  -22.1 $\mathrm{J} \mathrm{K}^{-1}$
The change in enthalpy is -4.125 kJ.  ;  +5.41 $\text{kJ}$ 
The pressure of the gas is: 0.04218914767096135 atm  ;  0.042  $\text{atm}$
1000.0  ;  -100 $\mathrm{J}$
275.8419630197067  ;  1410  $\mathrm{K}$
ΔT = -298.1312143119965 K  ;  -0.347 $\text{K}$ 
43.483  ;  +107 $\mathrm{kJ} \mathrm{mol}^{-1}$
The pressure exerted by 131 g of xenon gas in a vessel of volume 1.0 dm^3 at 25°C is 20 atm.  ;  24 $\mathrm{atm}$
20.0  ;  24 $\mathrm{atm}$
error occurs when solving the task  ;  0.72  
9.138869160931321  ;  9.14 $\mathrm{kPa}$ 
The mass of water that needs to be evaporated each day to maintain constant temperature is approximately 4.426 kg.  ;  4.09 $\text{kg}$ 
2.449114072338556e-05  ;  0.0245 $\mathrm{kPa}$ 
The molar heat capacity at constant pressure of the gas is: 29.93464052287582 J K^(-1) mol^(-1).  ;  22 $\mathrm{J} \mathrm{K}^{-1} \mathrm{~mol}^{-1}$
The value of b in m^3/mol is: 2.26e-05 m^3/mol  ;  0.0000226  $\mathrm{~m}^3 \mathrm{~mol}^{-1}$
150.0  ;  0.5 $\text{m}^3$ 
The value of ΔS is approximately 36.213566996478285 J/K.  ;  -36.5 $\mathrm{J} \mathrm{K}^{-1}$
1958382.95  ;  -21 $\mathrm{kJ} \mathrm{mol}^{-1}$
166.66666666666666  ;  0.0029 $\mathrm{atm}$ 
The total entropy change for the block at 100°C is approximately -1.03 J/K. The total entropy change for the block at 0°C is approximately 1.41 J/K.  ;  +93.4 $\mathrm{J} \mathrm{K}^{-1}$
2.35  ;  +2.35 $\text{kJ}$
-37.5  ;  -4564.7  $\mathrm{kJ} \mathrm{mol}^{-1}$
The critical constants of the gas are pc = RTC/B and Vc = B/C. The critical compression factor is Zc = 1.  ;  0.333333  
-80  ;  -383 $\mathrm{kJ} \mathrm{~mol}^{-1}$ 
-2500 J  ;   -194 $\mathrm{~J}$
2548.0  ;  2600 $\mathrm{J}$
23.15491409915152  ;  22 $\mathrm{atm}$ 
0.024491140723385207  ;  0.0245 $\mathrm{kPa}$ 
416.0  ;  420  $\mathrm{J}$
The temperature rise when 10 mg of phenol is burned in the calorimeter is approximately 0.003965 K.  ;  205 $\text{K}$ 
The final pressure of the carbon dioxide is: 21.750532729424215  ;  22 $\text{kPA}$
29.93464052287582  ;  30 $\mathrm{J} \mathrm{K}^{-1} \mathrm{~mol}^{-1}$
The difference of molar Gibbs energy is approximately -0.5462365625611016 kJ/mol.  ;  -0.55 $\mathrm{kJ} \mathrm{mol}^{-1}$
The change in standard enthalpy of reaction for reaction (3) is approximately -242.564 kJ/mol.  ;  -111.92 $\mathrm{kJ} \mathrm{mol}^{-1}$

-----------------------------------

66.99718611818304  ;  67 $\mathrm{J} \mathrm{K}^{-1}$ 
168.73263  ;  169  $\mathrm{g} \mathrm{mol}^{-1}$
1.2041333333333335  ;  1.2 $\mathrm{dm}^3 \mathrm{~mol}^{-1}$ 
87.79264214046823  ;  +87.8 $\mathrm{J} \mathrm{K}^{-1} \mathrm{~mol}^{-1}$
36.8052999631947  ;  +37 $\text{K}$ 
The compression factor is 0.88  ;  0.88  
3.0034305803571426  ;  3.0 $\mathrm{atm}$ 
0.38384367094128935  ;  0.38  
4.125  ;  +4.1 $\text{kJ}$ 
The pressure in the apparatus is: 102.6592007966 kPa  ;  102 $\mathrm{kPa}$
0.10719549778909288  ;  0.11  
239.7  ;  240 $\mathrm{kJ} \mathrm{mol}^{-1}$
The molar volume of water vapor is approximately 0.135 dm^3/mol.  ;  0.1353 $\mathrm{dm}^3 \mathrm{~mol}^{-1}$
The change in entropy of the gas during the compression process is approximately 0.0 J/K.  ;  0  
0.07609507500000003  ;  0.0761 $\mathrm{kg} \mathrm{~m}^5 \mathrm{~s}^{-2} \mathrm{~mol}^{-2}$
The total change in entropy is approximately 2.8800345273496037 J/K.  ;  +2.9 $\mathrm{J} \mathrm{K}^{-1}$
The pressure of the gas is: 0.04218914767096135 atm  ;  0.042  $\text{atm}$
9.138869160931321  ;  9.14 $\mathrm{kPa}$ 
2.35  ;  +2.35 $\text{kJ}$
2548.0  ;  2600 $\mathrm{J}$
23.15491409915152  ;  22 $\mathrm{atm}$ 
0.024491140723385207  ;  0.0245 $\mathrm{kPa}$ 
416.0  ;  420  $\mathrm{J}$
The final pressure of the carbon dioxide is: 21.750532729424215  ;  22 $\text{kPA}$
29.93464052287582  ;  30 $\mathrm{J} \mathrm{K}^{-1} \mathrm{~mol}^{-1}$
The difference of molar Gibbs energy is approximately -0.5462365625611016 kJ/mol.  ;  -0.55 $\mathrm{kJ} \mathrm{mol}^{-1}$

